
States V || Symbols->         a|              b|              c|              d|              e|              f|              g|              h|              i|              j|              z|              x|              =|              (|              )|              {|              }|              ~|              ?|              $|              :|              ;|              >|              <|              +|              -|              *|              ~|              ,|              
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------              
              0|           s 18|            s 2|            s 3|            s 4|               |            s 5|            s 6|            s 7|            s 8|            s 9|               |           s 19|               |           s 20|               |               |               |               |               |               |               |           s 22|               |               |               |               |               |               |           s 21|
             38|           s 62|           s 29|            s 3|            s 4|               |               |               |               |               |               |               |               |               |           s 31|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             39|               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 63|               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             40|               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 64|               |               |           s 38|               |               |               |               |           s 33|           s 34|           s 35|           s 36|           s 37|               |               |
             41|               |           s 65|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             42|               |           s 66|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             43|               |           s 67|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             44|               |           s 68|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             45|               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 69|               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             46|               |               |               |               |               |               |               |               |               |               |               |               |               |               |         r C->x|               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             47|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 70|               |               |               |               |               |               |               |
             48|           s 18|            s 2|            s 3|            s 4|               |            s 5|            s 6|               |               |            s 9|               |           s 72|               |           s 20|               |               |               |               |               |               |               |           s 22|               |               |               |               |               |               |               |
             49|           s 18|            s 2|            s 3|            s 4|               |            s 5|            s 6|               |               |            s 9|               |           s 72|               |           s 20|               |               |               |               |               |               |               |           s 22|               |               |               |               |               |               |               |
             50|               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r C->hbC|               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             51|           s 76|               |               |               |               |               |               |           s 74|           s 75|               |               |           s 77|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             52|               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r C->ibC|               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             53|           s 78|               |               |               |               |               |               |           s 74|           s 75|               |               |           s 77|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             54|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r O->jR;|               |               |               |               |               |               |               |               |               |               |               |               |
             55|               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 64|               |               |               |               |               |               |               |               |               |           s 35|           s 36|           s 37|               |               |
             56|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 79|               |               |               |               |               |               |               |               |
             57|               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r P->R>R|               |       r P->R>R|               |       r P->R>R|               |       r P->R>R|       r P->R>R|               |               |           s 35|           s 36|           s 37|               |               |
             58|               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r P->R<R|               |       r P->R<R|               |       r P->R<R|               |       r P->R<R|       r P->R<R|               |               |           s 35|           s 36|           s 37|               |               |
             59|               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r Q->R+R|               |       r Q->R+R|       r Q->R+R|       r Q->R+R|               |       r Q->R+R|       r Q->R+R|       r Q->R+R|       r Q->R+R|           s 35|           s 36|           s 37|               |               |
             60|               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r Q->R-R|               |       r Q->R-R|       r Q->R-R|       r Q->R-R|               |       r Q->R-R|       r Q->R-R|       r Q->R-R|       r Q->R-R|           s 35|           s 36|           s 37|               |               |
             61|               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r Q->R*R|               |       r Q->R*R|       r Q->R*R|       r Q->R*R|               |       r Q->R*R|       r Q->R*R|       r Q->R*R|       r Q->R*R|           s 35|           s 36|           s 37|               |               |
             62|               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r P->R~R|               |       r P->R~R|               |       r P->R~R|               |       r P->R~R|       r P->R~R|               |               |           s 35|           s 36|           s 37|               |               |
             63|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 80|               |               |               |               |               |               |               |               |               |               |
             64|               |               |               |               |               |               |               |               |               |               |               |               |               |               |       r R->(R)|               |       r R->(R)|       r R->(R)|       r R->(R)|               |       r R->(R)|       r R->(R)|       r R->(R)|       r R->(R)|       r R->(R)|       r R->(R)|       r R->(R)|               |               |
             65|           s 81|               |               |               |               |               |               |           s 43|           s 44|               |               |           s 46|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 21|
             66|           s 82|               |               |               |               |               |               |           s 43|           s 44|               |               |           s 46|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 21|
             67|           s 50|               |               |               |               |               |               |           s 43|           s 44|               |               |           s 46|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 21|
             68|           s 52|               |               |               |               |               |               |           s 43|           s 44|               |               |           s 46|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 21|
             69|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 83|               |               |               |               |               |               |               |               |               |               |               |               |               |
             70|           s 18|            s 2|            s 3|            s 4|               |            s 5|            s 6|               |               |            s 9|               |           s 72|               |           s 20|               |               |               |               |               |               |               |           s 22|               |               |               |               |               |               |               |
             71|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |      r M->fb;L|               |               |               |               |               |               |               |               |               |               |               |               |
             72|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |         r L->x|               |               |               |               |               |               |               |               |               |               |               |               |
             73|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |      r M->gb;L|               |               |               |               |               |               |               |               |               |               |               |               |
             74|               |           s 85|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             75|               |           s 86|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             76|               |      r D->hb;D|      r D->hb;D|      r D->hb;D|               |      r D->hb;D|      r D->hb;D|               |               |      r D->hb;D|               |               |               |      r D->hb;D|               |               |      r D->hb;D|               |               |               |               |      r D->hb;D|               |               |               |               |               |               |               |
             77|               |         r D->x|         r D->x|         r D->x|               |         r D->x|         r D->x|               |               |         r D->x|               |               |               |         r D->x|               |               |         r D->x|               |               |               |               |         r D->x|               |               |               |               |               |               |               |
             78|               |      r D->ib;D|      r D->ib;D|      r D->ib;D|               |      r D->ib;D|      r D->ib;D|               |               |      r D->ib;D|               |               |               |      r D->ib;D|               |               |      r D->ib;D|               |               |               |               |      r D->ib;D|               |               |               |               |               |               |               |
             79|           s 18|           s 29|            s 3|            s 4|               |               |               |               |               |               |               |               |               |           s 20|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             80|           s 18|           s 29|            s 3|            s 4|               |               |               |               |               |               |               |               |               |           s 20|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             81|               |               |               |               |               |               |               |               |               |               |               |               |               |               |      r C->,hbC|               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             82|               |               |               |               |               |               |               |               |               |               |               |               |               |               |      r C->,ibC|               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             83|           s 89|               |               |               |               |               |               |           s 74|           s 75|               |               |           s 77|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             84|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |     r K->b=J;L|               |               |               |               |               |               |               |               |               |               |               |               |
             85|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 51|               |               |               |               |               |               |               |
             86|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 53|               |               |               |               |               |               |               |
             87|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |     r N->P?J:J|               |               |               |     r N->P?J:J|     r N->P?J:J|               |               |               |               |               |               |               |
             88|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 90|               |               |               |               |               |               |               |               |
             89|           s 18|            s 2|            s 3|            s 4|               |            s 5|            s 6|               |               |            s 9|               |           s 72|               |           s 20|               |               |               |               |               |               |               |           s 22|               |               |               |               |               |               |               |
             90|           s 18|           s 29|            s 3|            s 4|               |               |               |               |               |               |               |               |               |           s 20|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             91|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 93|               |               |               |               |               |               |               |               |               |               |               |               |
             92|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |   r N->(P)?J:J|               |               |               |   r N->(P)?J:J|   r N->(P)?J:J|               |               |               |               |               |               |               |
             93|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |  r B->a(C){DL}|               |               |               |               |               |               |               |               |               |
