I/P State       Input    Next State
         48 ,        Q =>       17
         48 ,        R =>       18
         48 ,        x =>       72
         48 ,        ( =>       20
         48 ,        ; =>       22
         49 ,        b =>       2
         49 ,        c =>       3
         49 ,        d =>       4
         49 ,        f =>       5
         49 ,        g =>       6
         49 ,        j =>       9
         49 ,        J =>       11
         49 ,        K =>       12
         49 ,        L =>       73
         49 ,        M =>       13
         49 ,        N =>       14
         49 ,        O =>       15
         49 ,        P =>       16
         49 ,        Q =>       17
         49 ,        R =>       18
         49 ,        x =>       72
         49 ,        ( =>       20
         49 ,        ; =>       22
         51 ,        h =>       74
         51 ,        i =>       75
         51 ,        D =>       76
         51 ,        x =>       77
         53 ,        h =>       74
         53 ,        i =>       75
         53 ,        D =>       78
         53 ,        x =>       77
         55 ,        ) =>       64
         55 ,        + =>       35
         55 ,        - =>       36
         55 ,        * =>       37
         56 ,        : =>       79
         57 ,        + =>       35
         57 ,        - =>       36
         57 ,        * =>       37
         58 ,        + =>       35
         58 ,        - =>       36
         58 ,        * =>       37
         59 ,        + =>       35
         59 ,        - =>       36
         59 ,        * =>       37
         60 ,        + =>       35
         60 ,        - =>       36
         60 ,        * =>       37
         61 ,        + =>       35
         61 ,        - =>       36
         61 ,        * =>       37
         62 ,        + =>       35
         62 ,        - =>       36
         62 ,        * =>       37
         63 ,        ? =>       80
         65 ,        h =>       43
         65 ,        i =>       44
         65 ,        C =>       81
         65 ,        x =>       46
         65 ,        , =>       21
         66 ,        h =>       43
         66 ,        i =>       44
         66 ,        C =>       82
         66 ,        x =>       46
         66 ,        , =>       21
         67 ,        h =>       43
         67 ,        i =>       44
         67 ,        C =>       50
         67 ,        x =>       46
         67 ,        , =>       21
         68 ,        h =>       43
         68 ,        i =>       44
         68 ,        C =>       52
         68 ,        x =>       46
         68 ,        , =>       21
         69 ,        { =>       83
         70 ,        b =>       2
         70 ,        c =>       3
         70 ,        d =>       4
         70 ,        f =>       5
         70 ,        g =>       6
         70 ,        j =>       9
         70 ,        J =>       11
         70 ,        K =>       12
         70 ,        L =>       84
         70 ,        M =>       13
         70 ,        N =>       14
         70 ,        O =>       15
         70 ,        P =>       16
         70 ,        Q =>       17
         70 ,        R =>       18
         70 ,        x =>       72
         70 ,        ( =>       20
         70 ,        ; =>       22
         74 ,        b =>       85
         75 ,        b =>       86
         79 ,        b =>       29
         79 ,        c =>       3
         79 ,        d =>       4
         79 ,        J =>       87
         79 ,        N =>       14
         79 ,        P =>       16
         79 ,        Q =>       17
         79 ,        R =>       18
         79 ,        ( =>       20
         80 ,        b =>       29
         80 ,        c =>       3
         80 ,        d =>       4
         80 ,        J =>       88
         80 ,        N =>       14
         80 ,        P =>       16
         80 ,        Q =>       17
         80 ,        R =>       18
         80 ,        ( =>       20
         0 ,        a =>       1
         0 ,        b =>       2
         0 ,        c =>       3
         0 ,        d =>       4
         0 ,        f =>       5
         0 ,        g =>       6
         0 ,        h =>       7
         0 ,        i =>       8
         0 ,        j =>       9
         0 ,        B =>       10
         0 ,        J =>       11
         0 ,        K =>       12
         0 ,        M =>       13
         0 ,        N =>       14
         0 ,        O =>       15
         0 ,        P =>       16
         0 ,        Q =>       17
         0 ,        R =>       18
         0 ,        x =>       19
         0 ,        ( =>       20
         0 ,        , =>       21
         0 ,        ; =>       22
         1 ,        ( =>       23
         2 ,        = =>       24
         5 ,        b =>       25
         6 ,        b =>       26
         7 ,        b =>       27
         8 ,        b =>       28
         9 ,        b =>       29
         9 ,        c =>       3
         9 ,        d =>       4
         9 ,        Q =>       17
         9 ,        R =>       30
         9 ,        ( =>       31
         16 ,        ? =>       32
         18 ,        > =>       33
         18 ,        < =>       34
         18 ,        + =>       35
         18 ,        - =>       36
         18 ,        * =>       37
         18 ,        ~ =>       38
         20 ,        b =>       29
         20 ,        c =>       3
         20 ,        d =>       4
         20 ,        P =>       39
         20 ,        Q =>       17
         20 ,        R =>       40
         20 ,        ( =>       31
         21 ,        h =>       41
